Full   Name   ,  Phone,Email,Age
Some Person ,+11234567890,  some@pr.com,30
  Alex Cho2 ,10987654321,  alEx@Cho.com,26
  Alex Cho2 ,10987654321,  alEx@Ch1o.com,28.1
  Alex Cho2 ,10987654321,  alEx@C2ho.com,26
  Alex Cho89 ,10287654321,  alE@Cho.com,dfg
  Alex Cho98 ,10387654321,  alx@Cho.com,26
  Alex Cho3 ,1238546789,  alEx@Cho.com,26
  Alex Cho4 ,+1156738294,  alEx@Cho.com,26
  Alex Cho5 ,546834687,  alEx#Cho.com,19
  Alex Cho5 ,546834687,  alEx#Cho.com,19
sfs ,546834687,  alEx#Cho.com,19
sfs ,546834687,  alEx#Cho.com,
